"구분","파일명","유형","역할","현재/목표","완료여부","개발가능성","근거요약","비고"
"현재","run_daily.ps1","PowerShell","일일 오케스트레이터","유지","Y","가능","현재 운영 경로의 최상위 진입점이며 Python 파이프라인을 순차 호출한다.","build_daily_report 중복 호출 여부 점검 필요"
"현재","run_eps_cache_refresh.ps1","PowerShell","EPS 월간 갱신 래퍼","유지","Y","가능","EPS 캐시를 별도 갱신하는 구조가 이미 존재한다.","월간 작업"
"현재","run_assumptions_refresh.ps1","PowerShell","assumptions 월간 동기화 래퍼","유지","Y","가능","universe와 assumptions를 정합화하는 기존 구조가 있다.","월간 작업"
"현재","install_automation.ps1","PowerShell","초기 설치","유지","Y","가능","config 생성과 스케줄 등록을 자동화한다.","초기 배포용"
"현재","setup_scheduled_tasks.ps1","PowerShell","Task Scheduler 등록","유지","Y","가능","3개 정기 작업 등록 로직이 명확하다.","운영 핵심"
"현재","remove_scheduled_tasks.ps1","PowerShell","Task Scheduler 제거","유지","Y","가능","운영 정리/해제 기능으로 충분히 단순하다.","정리용"
"현재","set_dart_api_key_env.ps1","PowerShell","DART 키 설정","유지","Y","가능","환경변수 주입 도구로 구현 난이도 낮다.","보안 주의"
"현재","set_krx_login_env.ps1","PowerShell","KRX 자격증명 설정","유지","Y","가능","SecureString 기반 입력을 사용하는 설정 도구다.","보안 주의"
"현재","check_drive_config.ps1","PowerShell","Google Drive 검증","유지","Y","가능","Drive 설정 진단용으로 이미 목적이 분명하다.","검증 도구"
"현재","preprocess_daily_updates.py","Python","일일 전처리","유지/분리대상","Y","가능","DART 공시/주식수/EPS 리밸런싱을 수행하므로 분리 가능성이 높다.","ingest_dart_disclosures로 분해 권장"
"현재","refresh_eps_cache.py","Python","EPS 캐시 본체","유지/리팩터","Y","가능","공시 우선, 스크랩 보조, 캐시 병합 로직이 이미 존재한다.","v1.1의 핵심 유지 대상"
"현재","refresh_assumptions.py","Python","assumptions 동기화","유지/리팩터","Y","가능","universe와 assumptions 정합화가 이미 구현돼 있다.","섹터 보정 강화"
"현재","build_daily_report.py","Python","핵심 분석 엔진","유지/분리대상","Y","가능","점수/액션/비중/출력 생성까지 하고 있어 분리 필요성이 높다.","feature/score/report 분리 권장"
"현재","upload_to_google_drive.py","Python","Drive 업로드","유지/리팩터","Y","가능","파일 create/update 로직이 단순해 publish_to_drive로 이름/책임 정리가 가능하다.","후처리 옵션"
"현재","publish_to_drive.py","Python","Drive 업로드","신규","Y","조건부 가능","기존 업로더를 별도 진입점으로 분리했다.","새 실행 경로"
"현재","refresh_daily_preprocess.py","Python","레거시 전처리 경로","보조/폐기검토","Y","조건부 가능","현재 메인 경로와 기능 중복이 있어 유지보다는 대체/흡수 대상이다.","메인 경로 아님"
"현재","day1_validation.py","Python","레거시 검증","보조/폐기검토","Y","불필요","스키마 불일치로 현재 운영 기준 검증기로 부적합하다.","fixed 버전으로 대체"
"현재","day1_validation_fixed.py","Python","현재 검증기","유지/통합대상","Y","가능","현재 스키마 기준 검증이 가능하다.","validate_outputs로 흡수 권장"
"현재","schema_registry.csv","CSV","스키마 레지스트리","신규","Y","가능","CSV-first 구조를 유지하면서 계약을 데이터로 관리할 수 있다.","최우선"
"현재","validate_csv_contracts.py","Python","CSV 계약 검증","신규","Y","가능","pandas로 스키마/PK/null/enum 검증을 구현할 수 있다.","최우선"
"현재","run_pipeline.py","Python","통합 오케스트레이터","유지/완료","Y","가능","현재 run_daily.ps1의 역할을 Python으로 옮기는 것은 구현 가능하며 실제로 전환했다.","PowerShell wrapper는 유지 가능"
"현재","validate_outputs.py","Python","출력 검증","유지/완료","Y","가능","상세리포트/핵심근거/전일비교 결과를 검증한다.","운영 필수"
"현재","sync_universe_master.py","Python","유니버스 동기화","유지/완료","Y","가능","기존 universe/assumptions 정합화 로직을 분리했다.","높은 우선순위"
"현재","ingest_market_data.py","Python","시세/수급 수집","유지/완료","Y","조건부 가능","price_daily.csv와 market_index_daily.csv를 정규화 생성한다.","KRX 우선, fallback 허용"
"현재","ingest_dart_disclosures.py","Python","공시 수집","유지/완료","Y","가능","DART 공시검색 모듈을 분리했고 단독 실행을 검증했다.","최우선"
"현재","build_features_daily.py","Python","피처 생성","유지/완료","Y","가능","기술지표/밸류/EPS/레짐 피처 계산을 독립 CSV로 분리했다.","핵심"
"현재","score_daily_signals.py","Python","신호/액션 산출","유지/완료","Y","가능","피처 CSV를 입력으로 상세리포트와 핵심근거를 생성한다.","핵심"
"현재","manage_positions.py","Python","포지션 관리","유지/완료","Y","조건부 가능","포지션 상태와 주문 후보를 CSV로 생성하는 관리 모듈을 구현했다.","중요"
"목표","publish_to_drive.py","Python","배포","신규/리팩터","N","가능","현재 업로더를 정식 배포 모듈로 정리할 수 있다.","검증 후 업로드"
"목표","validate_outputs.py","Python","출력 검증","신규","N","가능","action-weight, row count, reason code, regime 정합성 검증이 가능하다.","운영 필수"
"목표","train_models.py","Python","학습/모델 버전","신규","N","조건부 가능","scikit-learn 표형 데이터 파이프라인으로 구현 가능하다.","데이터 축적 필요"
"목표","backtest_walkforward.py","Python","백테스트","신규","N","조건부 가능","walk-forward와 비용 반영 시뮬레이션은 구현 가능하다.","검증 필수"
"목표","publish_to_drive.py","Python","배포","신규/리팩터","N","가능","현재 업로더를 정식 배포 모듈로 정리할 수 있다.","검증 후 업로드"
"목표","ops_admin.py","Python","운영 통합 CLI","신규","N","가능","설치/스케줄/환경변수/Drive 점검을 CLI로 통합 가능하다.","운영 편의"
"목표","model_registry.csv","CSV","모델 메타","신규","N","가능","모델 버전과 점수를 CSV 메타로 관리할 수 있다.","CSV-first와 일치"
"목표","run_history.csv","CSV","실행 이력","신규","N","가능","run_id 단위 실행 이력 관리가 가능하다.","상시 기록"
"목표","error_log.csv","CSV","에러 로그","신규","N","가능","프로그램별 에러를 CSV로 누적 관리할 수 있다.","상시 기록"
