"구분","대상","세부기능","진행상태","완료여부","가능성","우선순위","의존성","다음조치"
"현재","run_daily.ps1","일일 전체 실행","기반완료","Y","가능","P1","Python 실행 파일","run_pipeline.py 도입 후 래퍼 유지 여부 결정"
"현재","preprocess_daily_updates.py","DART 공시 전처리 / 주식수 반영 / EPS 보정","기반완료","Y","가능","P1","DART API, universe.csv, eps_cache.csv","ingest_dart_disclosures.py로 분리 검토"
"현재","refresh_eps_cache.py","EPS 캐시 갱신","기반완료","Y","가능","P1","DART, Naver, KRX","입력/출력 계약 분리"
"현재","refresh_assumptions.py","universe-assumptions 정합화","기반완료","Y","가능","P1","universe.csv, assumptions.csv, eps_cache.csv","sync_universe_master.py로 흡수"
"현재","build_daily_report.py","점수/액션/비중/리포트 생성","기반완료","Y","가능","P0","전처리 산출물, 시장 데이터","feature/score/report 분리, 출력 저장 공통화 일부 완료, 기본 출력 묶음 추출 완료, 신호 보조 출력 묶음 추출 완료, 신호 아티팩트 준비 추출 완료, 후처리 추출 완료, 출력 조립 헬퍼 추출 완료, 행 조립 헬퍼 추출 완료"
"현재","upload_to_google_drive.py","Drive 업로드","기반완료","Y","가능","P2","Google service account","publish_to_drive.py로 이름 정리"
"현재","publish_to_drive.py","Drive 업로드","개발완료","Y","조건부 가능","P2","Google service account","기존 업로더의 새 진입점"
"현재","day1_validation_fixed.py","현재 스키마 검증","기반완료","Y","가능","P2","최신 CSV 스키마","validate_outputs.py로 통합"
"현재","run_eps_cache_refresh.ps1","EPS 월간 실행","기반완료","Y","가능","P2","refresh_eps_cache.py","run_pipeline.py 또는 ops_admin에 연결"
"현재","run_assumptions_refresh.ps1","assumptions 월간 실행","기반완료","Y","가능","P2","refresh_assumptions.py","sync_universe_master와 연결"
"현재","setup_scheduled_tasks.ps1","스케줄 등록","기반완료","Y","가능","P2","Task Scheduler","ops_admin.py로 통합 가능"
"현재","remove_scheduled_tasks.ps1","스케줄 제거","기반완료","Y","가능","P2","Task Scheduler","ops_admin.py로 통합 가능"
"현재","install_automation.ps1","초기 설치","기반완료","Y","가능","P2","config, PowerShell 실행 정책","ops_admin.py로 통합 가능"
"현재","set_dart_api_key_env.ps1","DART 키 설정","기반완료","Y","가능","P2","사용자 환경변수","운영 보조"
"현재","set_krx_login_env.ps1","KRX 자격증명 설정","기반완료","Y","가능","P2","사용자 환경변수","운영 보조"
"현재","check_drive_config.ps1","Google Drive 검증","기반완료","Y","가능","P2","Drive API 설정","운영 보조"
"현재","schema_registry.csv","스키마 선언","개발완료","Y","가능","P0","CSV 계약 설계","최우선 생성 완료"
"현재","validate_csv_contracts.py","스키마/enum/null 검증","개발완료","Y","가능","P0","schema_registry.csv","최우선 생성 완료"
"현재","run_pipeline.py","통합 파이프라인 실행기","개발완료","Y","가능","P1","각 단계 스크립트 분해","Python 오케스트레이터로 전환 완료, 단계 표기 정리 완료, locked 출력 정리 추가"
"현재","validate_outputs.py","출력 검증","개발완료","Y","가능","P1","상세리포트/핵심근거/전일비교 CSV","출력 계약 검증 완료"
"현재","sync_universe_master.py","유니버스 마스터 동기화","개발완료","Y","가능","P1","universe.csv, assumptions.csv","현재 assumptions 갱신 로직 흡수"
"현재","ingest_dart_disclosures.py","공시 수집","개발완료","Y","가능","P1","DART API, corp code cache","전처리에서 분리 완료 및 단독 실행 검증"
"현재","ingest_market_data.py","시장 데이터 수집","개발완료","Y","조건부 가능","P1","KRX/pykrx/FDR/yfinance","price_daily.csv 및 market_index_daily.csv 생성 검증 완료"
"목표","publish_to_drive.py","배포","개발완료","Y","조건부 가능","P2","Google Drive 설정","검증 후 업로드, publish_history.csv 기록, 기존 업로더의 새 진입점"
"현재","build_features_daily.py","피처 생성","개발완료","Y","가능","P1","시장 데이터, EPS, 공시","독립 피처 CSV 생성 검증 완료"
"현재","score_daily_signals.py","신호/점수 산출","개발완료","Y","가능","P1","피처 테이블","상세리포트/핵심근거 생성 검증 완료"
"현재","manage_positions.py","포지션 상태 관리","개발완료","Y","조건부 가능","P2","이력 CSV, 리밸런싱 규칙","positions/orders/event CSV 생성 검증 완료"
"목표","validate_outputs.py","결과 검증","개발완료","Y","가능","P1","출력 CSV들","운영 필수 단계"
"목표","publish_to_drive.py","배포","개발완료","Y","조건부 가능","P2","Google Drive 설정","검증 후 업로드, publish_history.csv 기록, 기존 업로더의 새 진입점"
"목표","ops_admin.py","운영 CLI","개발완료","Y","가능","P2","설치/환경/스케줄","init-config/env-set/check-drive/status/schedule wrappers 구현"
"목표","train_models.py","모델 학습","부분구현","N","조건부 가능","P3","충분한 과거 데이터","baseline + active/inactive 모델 버전 관리 구현, walk-forward 검증은 데이터 축적 후"
"목표","backtest_walkforward.py","워크포워드 백테스트","개발완료","Y","조건부 가능","P3","히스토리 피처, 비용 가정","전략 품질 검증용"
"목표","model_registry.csv","모델 메타 관리","개발완료","Y","가능","P3","train_models.py","학습 결과 추적"
"목표","run_history.csv","실행 이력 관리","개발완료","Y","가능","P1","run_pipeline.py","run_id, status, duration 기록"
"목표","error_log.csv","에러 이력 관리","개발완료","Y","가능","P1","run_pipeline.py, validate_outputs.py","프로그램/기능별 오류 누적"
