"파일명","종류","분류","실행진입점","역할요약","상세기능","입력파일/환경변수","출력파일","실행주기","운영중요도","후속AI분석포인트"
"run_daily.ps1","PowerShell","핵심 오케스트레이션","사용자/스케줄러","일일 배치의 최상위 진입점","설정파일(up_valuation_config.json)과 사용자 환경변수를 읽어 Python 실행기를 해석하고, pip 의존성을 설치한 뒤 preprocess_daily_updates.py→refresh_assumptions.py→build_daily_report.py 순으로 일일 파이프라인을 실행한다. 조건 충족 시 Google Drive 업로드까지 수행한다. PowerShell에서 Python subprocess를 제어하는 역할이다.","up_valuation_config.json, DART_API_KEY, KRX_ID, KRX_PW, UP_VALUATION_PYTHON, requirements.txt","상세리포트/핵심근거/타임라인/전일비교 및 full 파일들","매일 1회 또는 수동","최상","중복 build 호출 여부, 에러 전파, 환경변수 주입, upload 조건 분기"
"run_eps_cache_refresh.ps1","PowerShell","월간 캐시","사용자/스케줄러","EPS 캐시 별도 갱신","환경변수와 Python 경로를 읽어 requirements 설치 후 refresh_eps_cache.py를 실행한다. 메인 일일 파이프라인과 분리된 월간/수동 캐시 갱신용 래퍼다.","up_valuation_config.json, DART_API_KEY, KRX_ID, KRX_PW, requirements.txt","eps_cache.csv","월 1회 또는 수동","상","강제 갱신 시 캐시 병합 정책, 실패 시 기존 캐시 유지 여부"
"run_assumptions_refresh.ps1","PowerShell","월간 동기화","사용자/스케줄러","assumptions 정합성 보정","Python 경로를 해석한 뒤 refresh_assumptions.py를 실행한다. universe.csv와 assumptions.csv를 재동기화하고 EPS 캐시의 sector를 반영하는 월간 보정 래퍼다.","universe.csv, assumptions.csv, eps_cache.csv, requirements.txt","assumptions.csv","월 1회 또는 수동","상","수동값 보존 로직, 섹터 자동 보정 범위, universe 변화 대응"
"install_automation.ps1","PowerShell","초기 설치","수동","자동화 설치 엔트리","Python 경로 자동 탐색 후 config를 생성하고 setup_scheduled_tasks.ps1을 호출해 스케줄 작업을 등록한다. Python이 없으면 사용자 입력을 받아 저장한다.","로컬 Python 경로, 스케줄 파라미터","up_valuation_config.json, 스케줄 작업 등록","1회 초기 설치","상","Python 탐색 우선순위, config 생성 구조, 운영 배포 시나리오"
"setup_scheduled_tasks.ps1","PowerShell","스케줄 등록","install_automation.ps1","Task Scheduler 등록","schtasks 명령으로 Daily/EPS-Monthly/Assumptions-Monthly 3개 작업을 생성/갱신한다. 각 작업은 run_daily.ps1, run_eps_cache_refresh.ps1, run_assumptions_refresh.ps1을 실행한다.","run_daily.ps1, run_eps_cache_refresh.ps1, run_assumptions_refresh.ps1, 시간 파라미터","Windows Scheduled Tasks 3개","1회 초기 설정 또는 재등록","상","schtasks 인자, 관리자 권한 필요성, 작업명 규칙"
"remove_scheduled_tasks.ps1","PowerShell","운영 정리","수동","Scheduler 삭제","UPValuation 접두사의 3개 작업을 삭제한다. 스케줄 정리/재구성/제거 시 사용한다.","Task Prefix","스케줄 작업 삭제","필요 시","중","삭제 실패 조건, 재등록 절차"
"set_dart_api_key_env.ps1","PowerShell","환경변수 설정","수동","DART API 키 저장","사용자 입력 키를 현재 세션과 User/Machine 환경변수에 저장한다. 프로젝트 파일에는 키를 기록하지 않는다.","DART API Key","DART_API_KEY","1회 초기 설정 또는 교체 시","상","보안 노출 방지, 세션/영구 환경변수 차이"
"set_krx_login_env.ps1","PowerShell","환경변수 설정","수동","KRX ID/PW 저장","KRX 로그인 자격증명을 받아 현재 세션과 User/Machine 환경변수에 저장한다. pykrx 계열 데이터 조회 전제조건이다.","KRX ID, KRX Password","KRX_ID, KRX_PW","1회 초기 설정 또는 교체 시","상","SecureString 처리, pykrx 활성화 조건"
"check_drive_config.ps1","PowerShell","검증 도구","수동","Google Drive 설정 검증","config 파일, JSON 키 파일, Python 경로, Google API 라이브러리, 폴더 ID를 점검한다. 업로드 활성화 전 진단용이다.","up_valuation_config.json, service account JSON, pythonPath","검증 로그","설정 후 또는 장애 시","중","업로드 활성화 조건, 라이브러리 import 정확성"
"preprocess_daily_updates.py","Python","일일 전처리","run_daily.ps1","DART 공시/주식수/EPS 전처리","당일 DART 공시를 스캔해 잠정실적/실적/공정공시 관련 종목을 찾고, 주식수 변동을 감지해 EPS를 리밸런싱하며 forward_eps_auto를 채운다. 일일 리포트 계산 전에 원천 데이터를 정리한다.","universe.csv, eps_cache.csv, assumptions.csv, DART_API_KEY, KRX_ID, KRX_PW","eps_cache.csv 업데이트","매일 1단계","최상","공시 키워드 필터, shares rebalance 정확성, forward_eps_auto 산식"
"refresh_eps_cache.py","Python","월간 캐시","run_eps_cache_refresh.ps1","EPS 캐시 본체","DART EPS 우선, Naver 스크래핑 보조, corpCode 캐시 재사용, shares_outstanding 추정, 제한 갱신 병합, universe 정렬/필터를 수행한다. 캐시 수명 관리를 포함한 본체 모듈이다.","universe.csv, DART_API_KEY, KRX_ID, KRX_PW, dart_corp_code_cache.csv","eps_cache.csv, dart_corp_code_cache.csv","월간/수동","최상","DART/스크랩 우선순위, cache merge 정책, source_primary 해석"
"refresh_assumptions.py","Python","월간 동기화","run_assumptions_refresh.ps1, run_daily.ps1","assumptions 정합성/섹터 보정","universe.csv 기준으로 assumptions.csv를 재생성하고 기본값을 채운 뒤 eps_cache.csv의 naver_sector를 이용해 sector_group을 자동 보정한다. 수동값은 보존한다.","universe.csv, assumptions.csv, eps_cache.csv","assumptions.csv","월간/일일 2단계","상","수동값 보존 조건, 섹터 자동채움 범위, 기타값 복원 로직"
"build_daily_report.py","Python","핵심 분석 엔진","run_daily.ps1","일일 리포트/점수/액션 생성","가격/거래량/기술지표/EPS/밸류/레짐을 종합해 total_score, combined_action, suggested_weight_pct를 계산하고 compact/full 출력, 핵심근거, 타임라인, 전일비교, 컬럼사전 문서를 만든다. 레짐은 MA/HV20/ROC60 3신호로 계산한다.","universe.csv, assumptions.csv, eps_cache.csv, yfinance 히스토리, output/기존 리포트","상세리포트, 핵심근거, 타임라인, 전일비교, full 파일들","매일 3단계","최상","액션-비중 정합성, 시장 레짐 로직, sector_pe_cap, 출력 모드"
"upload_to_google_drive.py","Python","배포/통합","run_daily.ps1 (옵션)","Google Drive 업로드","output 폴더의 당일 CSV 파일을 수집해 Google Drive folder id에 업로드/업데이트한다. 기존 파일이 있으면 update, 없으면 create한다.","GOOGLE_DRIVE_FOLDER_ID, GOOGLE_SERVICE_ACCOUNT_JSON, output/*.csv","Google Drive 파일","일일 후처리 옵션","중","업로드 대상 필터, create/update 구분, 서비스계정 인증"
"refresh_daily_preprocess.py","Python","레거시/대체 전처리","수동","시장 레짐 스냅샷 포함 전처리","시장 레짐 스냅샷을 market_regime.csv로 저장하고 EPS 캐시를 업데이트하는 통합형 경로다. 현재 메인 run_daily.ps1에서는 직접 호출되지 않는 보조/레거시 경로로 보는 것이 적절하다.","universe.csv, eps_cache.csv, assumptions.csv, DART_API_KEY, KRX_ID, KRX_PW","market_regime.csv, eps_cache.csv","수동/구버전 경로","중","메인 파이프라인과의 중복 기능, 레거시 유지 여부"
"day1_validation.py","Python","검증","수동","Day 1 초기 검증기","상세리포트_2026-04-25.csv를 읽어 섹터 다양성, 손실 플래그, 액션-비중 정합성, 레짐 분포를 점검하려 했으나 현재 스키마와 맞지 않아 실패할 수 있는 구버전 검증기다.","output/상세리포트_2026-04-25.csv","검증 로그","Day 1 완료 확인용(구버전)","중","컬럼명 불일치로 인한 KeyError 가능성"
"day1_validation_fixed.py","Python","검증","수동","Day 1 수정판 검증기","한글 컬럼명을 기준으로 섹터 다양성, 손실 플래그, 액션-비중 정합성을 검증하고 마켓레짐 분포와 종목 수 통계를 출력한다. Day 1 개선사항의 실사용 검증 도구다.","output/상세리포트_2026-04-25.csv","검증 로그","Day 1 이후 반복 검증","중","현재 기준 검증 성공 스크립트"
