"파일명","종류","분류","역할","구현기능상세","주입력","주출력","실행주기","핵심의존성","운영메모"
"run_daily.ps1","PowerShell","핵심 오케스트레이션","일일 메인 진입점","up_valuation_config.json과 사용자 환경변수를 읽어 Python 경로를 해석하고, pip install -r requirements.txt를 선행한 뒤 preprocess_daily_updates.py → refresh_assumptions.py → build_daily_report.py 순으로 일일 파이프라인을 실행한다. DART_API_KEY, KRX_ID, KRX_PW, UP_VALUATION_PYTHON을 프로세스에 주입하고, 설정에 따라 upload_to_google_drive.py까지 후처리로 호출한다.","up_valuation_config.json, DART_API_KEY, KRX_ID, KRX_PW, universe.csv, assumptions.csv, eps_cache.csv","output/상세리포트_YYYY-MM-DD.csv, output/종목선정_핵심근거_YYYY-MM-DD.csv, output/최종매수_30일타임라인_YYYY-MM-DD.csv, output/최종매수_전일비교_YYYY-MM-DD_vs_YYYY-MM-DD.csv, 필요 시 full 파일 전체","매일 1회 자동/수동","preprocess_daily_updates.py, refresh_assumptions.py, build_daily_report.py, upload_to_google_drive.py, requirements.txt","현재 로그 기준 build_daily_report.py가 2회 호출되는 흔적이 있어 중복 실행 여부를 재검토해야 함"
"run_eps_cache_refresh.ps1","PowerShell","월간 갱신 래퍼","EPS 캐시 전용 실행기","설정과 환경변수를 로드한 뒤 pip install -r requirements.txt와 refresh_eps_cache.py를 실행하는 얇은 래퍼다. EPS 캐시를 메인 일일 파이프라인과 분리해 월간/주기 갱신하도록 설계했다.","up_valuation_config.json, DART_API_KEY, KRX_ID, KRX_PW","eps_cache.csv 갱신","월 1회 또는 수동","refresh_eps_cache.py, requirements.txt","일일 리포트는 기존 eps_cache.csv를 사용하며, 이 스크립트로만 캐시를 갱신한다"
"run_assumptions_refresh.ps1","PowerShell","월간 갱신 래퍼","assumptions 동기화 실행기","Python 경로와 환경변수를 해석한 뒤 refresh_assumptions.py를 실행한다. universe.csv와 assumptions.csv를 맞추고 EPS 캐시의 sector 정보를 반영하는 정기 보정용 래퍼다.","universe.csv, assumptions.csv, eps_cache.csv","assumptions.csv 갱신","월 1회 또는 수동","refresh_assumptions.py, requirements.txt","일일 파이프라인에도 통합되어 있으나 개별 재실행도 가능"
"install_automation.ps1","PowerShell","초기 설치","자동화 설치 엔트리","Python 경로를 탐색해 up_valuation_config.json을 생성하고, setup_scheduled_tasks.ps1을 호출해 Windows Task Scheduler 등록을 자동화한다. 설치 시 Python 경로를 찾지 못하면 사용자 입력을 받는다.","로컬 Python 경로, 스케줄 시간, Task Prefix","up_valuation_config.json, 스케줄 작업 등록","1회 초기 설정","setup_scheduled_tasks.ps1","초기 배포/이전 PC 설치용"
"setup_scheduled_tasks.ps1","PowerShell","스케줄 등록","Scheduler 등록기","schtasks를 사용해 Daily/EPS-Monthly/Assumptions-Monthly 3개 작업을 생성하거나 갱신한다. 일일 작업은 run_daily.ps1, 월간 EPS 작업은 run_eps_cache_refresh.ps1, 월간 assumptions 작업은 run_assumptions_refresh.ps1을 실행한다.","run_daily.ps1, run_eps_cache_refresh.ps1, run_assumptions_refresh.ps1, 시간 파라미터","Windows Scheduled Tasks 3개","1회 초기 설정 또는 재등록","schtasks","실행 권한 필요. 관리자 권한이 있으면 안정적"
"remove_scheduled_tasks.ps1","PowerShell","운영 정리","Scheduler 삭제기","UPValuation-Daily, UPValuation-EPS-Monthly, UPValuation-Assumptions-Monthly 작업을 schtasks /Delete로 제거한다. 설치 해제 또는 스케줄 재구성 시 사용한다.","Task Prefix","Windows Scheduled Tasks 삭제","필요 시 수동","schtasks","권한 오류가 나면 관리자 PowerShell로 재시도"
"set_dart_api_key_env.ps1","PowerShell","환경변수 설정","DART 키 입력 도구","사용자가 입력한 DART API 키를 현재 세션과 User/Machine 환경변수에 저장한다. 프로젝트 파일에는 키를 기록하지 않는다.","DART API Key","DART_API_KEY","1회 초기 설정 또는 교체 시","Windows Environment Variable","DART 기반 EPS 수집과 일일 공시 스캔의 전제 조건"
"set_krx_login_env.ps1","PowerShell","환경변수 설정","KRX 자격증명 입력 도구","사용자가 입력한 KRX ID와 비밀번호를 현재 세션과 User/Machine 환경변수에 저장한다. pykrx 계열 데이터 조회를 위한 로그인 자격증명이다.","KRX ID, KRX Password","KRX_ID, KRX_PW","1회 초기 설정 또는 교체 시","Windows Environment Variable","보안상 비밀번호는 SecureString으로 입력받는다"
"check_drive_config.ps1","PowerShell","검증 도구","Google Drive 업로드 설정 검증","up_valuation_config.json, JSON 키 파일, Python 경로, Google API 라이브러리, folder id 형식을 점검한다. 업로드 활성화 여부와 서비스 계정 형식을 확인하는 진단용 스크립트다.","up_valuation_config.json, service account JSON, pythonPath","검증 로그","설정 후 또는 장애 시","google-auth, google-api-python-client","업로드 활성화 전 체크리스트 성격"
"preprocess_daily_updates.py","Python","일일 전처리","DART 공시/주식수/EPS 전처리","당일 DART 공시를 스캔해 잠정실적/공정공시 관련 종목을 찾고, 주식수 변동을 감지해 EPS를 리밸런싱하며, forward_eps_auto를 채운다. universe.csv와 eps_cache.csv를 기준으로 일일 데이터 업데이트를 수행한다.","universe.csv, eps_cache.csv, assumptions.csv, DART_API_KEY, KRX_ID, KRX_PW","eps_cache.csv 업데이트, 필요 시 universe 재생성","매일 일일 파이프라인 1단계","requests, pykrx, FinanceDataReader, numpy, pandas, refresh_eps_cache._dart_fetch_eps","메인 파이프라인의 전처리 단계로 사용된다"
